Language,Default
Player_Local,Addison Thorpe
AI_Companion,AI : Cassini
NPC_Vogl_Litzi,Litzi Vogl
NPC_Running_Wolf_Earl,Running Wolf Earl
NPC_Almanza_David,David Almanza
NPC_Shahane_Ida,Ida Shahane
NPC_Demir_Alp,Alp Demir
NPC_Mogorosi_Tau,Tau Mogorosi
NPC_Nam_SeoYeon,Nam Seoyeon
NPC_Flores_Claudia,Claudia Flores
NPC_Taggart_Judith,Judith Taggart
NPC_Cyrus,Cyrus
NPC_Lao_Gin,Gin Lao
Monster_Moji,Moji
Monster_Beetle,Beetle
Monster_Rat,Rat
Monster_Slug,Slug
Monster_Worm,Worm
Boss_001,Boss
NPC_MineWorker,Mine Worker
Dummy_Humanoid,Dummy Human
NPC_Exconde_Isko,Isko Exconde
NPC_Bogomolov_Alexei,Alexei Bogomolov
NPC_kebede_Seble,Seble Kebede
ControlCenter,<#23d682>Control Center</color>
Stranger_Arcade,<#caa600>Someone's voice.</color>
