Language,Default
Ida_Basic_First,...I wonder what happened here...
leave_Text,(Leave.)
Ida_S_Leave,(Leave.)
Ida_Basic_Eq,Oh great. Please tell me those clothes are still there.
Alp_Basic,...Hmm... I wish we-oh! Can I help you?
Trade,[Trade] What do you have in stock?
Alp_S_Leave,"No, sorry."
Lao_Basic,"I'm VERY busy right now, so if you don't mind..."
Lao_Basic_First,"Hello, are you here to... who are you?"
Lao_S_Tax,"Ah, are you here to pay rental fees?"
Lao_S_Leave,Okay.
Litzi_Basic,"Hey, sorry-can this wait? I'm a little busy keeping the plant online."
Litzi_Basic_First,"Wait a sec... who are you? Wait, did they finally crack that pod open?! Hi! I'm Litzi, and I'm in charge of this mess."
Litzi_S_Leave,"Alright, see you later."
Tau_Basic,I hope you're more useful than the piece of shit they pried you out of.
Tau_Basic_First,"Who the hell are you? Wait, you the person that they pried out of that piece of shit they dragged here?"
Tau_S_Leave,Okay.
Judith_Basic,Hmm.
Judith_Basic_First,"Oh, are you the 'pod person'? I'm Judith, nice to meet you, 'pod person'! There are some items I'm selling, so let me know if you need them."
Judith_S_Leave,(Leave.)
Nam_Basic,What's going on?
Isko_First,"I think you're feeling better. I hope you don't faint again. Oh, and I'm selling medical supplies, so let me know if you need them."
Isko_Basic,What a drag this is.
Isko_S_Leave,(Leave.)
Isko_Basic_Eq,"Let's go, please. We'll be here all day if you don't appease Ida."
Alexei_Basic,Today is how Alp is ready to put some tasty dishes ... you do not have something business?
Alexei_Basic_First,Uh...it does not show face in camp...? Is that you're a rookie camp? My name is Bogomolov Alexei, I am working in the mines. It is......how do you say it...... not good to be present around here for no good reason.
Alexei_S_Leave,"No, I would no apparent bother."
Seble_Basic,Led control the drones seem pretty ... What? You came here to help me?
Seble_Basic_First,"are you first advance team? Selection crews had found elsewhere. I'm Cabede Seble, a mining drone pilot. If you can't help me, can you just disappear?"
Seble_S_Leave,...Okay.
Isko_S_Trade,Can I buy medical supplies?
David_First,Welcome to My Supply Kingdom!
David_Basic,Do you want something?
David_S_Leave,(Leave.)
Nam_S_Leave,(Leave.)
Wolf_First,Not enough treatment materials... Oh? Who are you? I have not seen you around here. Are you the one that picked up from the outside?
Wolf_Basic,Water is the most important for the life...
Wolf_S_Leave,(Leave.)
FirstTalk_Judith_01_P,Hello.
FirstTalk_Judith_02_Judith,"Hm? Who're you? I don't recognize you... oh! You must be the guy that Ida brought back from the dead, huh?"
FirstTalk_Judith_03_P,You could say that. My name is Addison Thorpe.
FirstTalk_Judith_04_Judith,I'm Judith. I would've tidied the place up a bit if I knew we'd have company.
FirstTalk_Judith_05_P,"Well, I don't feel very presentable myself. What is this facility, anyway?"
FirstTalk_Judith_06_P,"This is Engineering, and I'm the one in charge here... which just means stopping things from falling apart right now. I can also make tools if you need some. Not for free, of course. Do you need anything else? I'm a little busy."
FirstTalk_Litzi_01_P,Hello.
FirstTalk_Litzi_02_Litzi,"Huh? Who're... oh, you must be that guy Ida was working on. I'm Litzi and I try to keep the generator here running."
FirstTalk_Litzi_03_P,"My name is Addison Thorpe. Why do you say, 'try to'?"
FirstTalk_Litzi_04_Litzi,"I don't know if you've heard yet, but the mine is closed now, which means I'm not getting any more fuel to keep the generator running. It barely runs at minimal capacity as is, so it won't be long before we're stuck in the dark. Not that anyone else seems to mind that threat but we'd still have the reactors to worry about, anyway..."
FirstTalk_Litzi_05_P,What's wrong with the reactors?
FirstTalk_Litzi_06_Litzi,"By the time we got here, the reactors were damaged. They still function, but they're unstable. Judith and I tried to fix them up, but with what how little we have to work with, they're still far from perfect. All I can do for now is hope that the worst doesn't happen..."
FirstTalk_Litzi_07_P,Oh... I think I'll be better off not knowing...
FirstTalk_Litzi_08_Litzi,At least you know that it's dire. Is there anything else you need?
FirstTalk_SeoYeon_01_P,Hello.
FirstTalk_SeoYeon_02_Seoyeon,"Finally, some help! Come on, follow me; I'll show you what to do."
FirstTalk_SeoYeon_03_P,"Wait, what? Help?"
FirstTalk_SeoYeon_04_Seoyeon,Didn't Lao send you here to help me on the farm?
FirstTalk_SeoYeon_05_P,"No, no. I was revived by Ida a little while ago. My name is Addison Thorpe."
FirstTalk_SeoYeon_06_Seoyeon,"Oh, that stasis guy. I guess getting some help was too good to be true after all, but it is nice to see someone; nobody ever visits this corner of the camp. I'm Seoyeon and like you've guessed, I run the farm here."
FirstTalk_SeoYeon_07_P,A farm? I'm surprised you can grow anything on this rock.
FirstTalk_SeoYeon_08_Seoyeon,"Oh, yes, of course. Even with the lack of labor and water, this farm provides most of everyone's food rations here. I keep telling Wolf that I need more water to feed the plants, but he stubbornly refuses every time. I guess nobody minds as long as they get their food, eh?"
FirstTalk_SeoYeon_09_P,Do you use all these plants for food? It looks like there's too much for how small the camp is.
FirstTalk_SeoYeon_10_Seoyeon,"Better too much than too little! But no. Some of it is used for medicine, too. You're welcome to some, of course. If I just had more water to work with, I could actually experiment and grow even more useful plants..."
FirstTalk_Isko_01_P,Hello.
