Language,Default
Fist_NameKey,Fist
HeadAccessory_001_NameKey,horn spectacles
HeadAccessory_001_DescKey,It's a pair of horn-shaped glasses.
HeadAccessory_002_NameKey,Goggles
HeadAccessory_002_DescKey,Goggles that can protect the eyes. Other gear will be needed for the rest of the head.
HeadAccessory_004_NameKey,Isko's Glasses
HeadAccessory_004_Desc,These are Isko's glasses. The prescription of glasses is very low.
HeadGear_001_NameKey,Future Helmet: Yellow
HeadGear_001_DescKey,"It is a helmet for future use, and it is yellow."
HeadGear_002_NameKey,Future Helmet: Black
HeadGear_002_DescKey,"It is a helmet for future use, and it is black."
Body_002_NameKey,Camp Sportswear
Body_002_DescKey,Convenient sportswear made by TECC. It's a staple outfit for the people in the camp.
Hand_012_NameKey,Protective Gloves: Gray
Hand_012_DescKey,Gloves worn to protect hands in dangerous facilities.
Foot_002_NameKey,Camp Shoes
Foot_002_DescKey,"Very normal shoes with nothing noteworthy about them, except for how comfortable they are. "
HeadGear_003_NameKey,Miner Helmet
HeadGear_003_DescKey,A simple helmet worn by the miners on Titan.
Body_022_NameKey,Miner Uniform
Body_022_DescKey,Pretty basic miner's uniform. Offers minor protection against cold and heat.
Hand_015_NameKey,Miner Gloves
Hand_015_DescKey,Essential safety gloves for miners. Good grips won't slip!
Foot_021_NameKey,Miner Shoes
Foot_021_DescKey,The work shoes that miners wear. Not as comfortable as the camp shoes.
Cockroach_Yokan_NameKey,Cockroach Yokan
Huygen_Bread_NameKey,Bread
Mushroom_Salad,Mushroom Salad
Cockroach_Yokan_DescKey,Food made from cockroaches? Can't believe they followed us all the way to Titan.
Huygen_Bread_DescKey,Bread is rare on Titan. The ingredients are different.  so it tastes... off.
Mushroom_Salad_Desc,Mushrooms with some simple greens. Not bad at all. Alp's probably had a lot of practice lately.
Water_NameKey,Water
Water_DescKey,"Clean, purified water. Definitely nothing dangerous or toxic in here."
Centipede_Juice_NameKey,Centipede Juice
Centipede_Juice_DescKey,"Juice made from centipedes. It's... not that bad, surprisingly. "
Bandage_NameKey,Bandage
Bandage_DescKey,"A basic bandage that can stop minor bleeding. It probably won't help with more serious injuries, like a lost limb. "
First-aid_kit_NameKey,First aid kit
First-aid_kit_DescKey,A box that contains various items to treat wounds.
AidKit_NameKey,Aid kit
AidKit_DescKey,A first aid kit that can heal simple wounds.
DummyOxygen_key,Portable Oxygen
DummyOxygen_DescKey,"A portable oxygen canister that helps you survive in oxygen-poor areas for a short time. There doesn't seem to be a way to refill it, though."
Battery_NameKey,Battery
Battery_DescKey,"A small battery that can power a variety of equipment for a short time. It doesn't seem to have a way to recharge, though."
Lamp_NameKey,Lamp
Lamp_DescKey,"A simple, basic lamp that illuminates within a very limited range. "
Ammo_001_Key,Pistol Ammo
Ammo_001_DescKey,A box containing pistol bullets. Not very useful without an actual pistol.
Ammo_002_Key,Riffle Bullet
Ammo_002_DescKey,A box containing riffle bullets. Not very useful without an actual riffle.
Arrow_001_NameKey,Arrow
Arrow_001_DescKey,"Plain and simple arrows. They probably won't survive more than one shot, though. "
Mushroom_NameKey,Cave Mushroom
Mushroom_DescKey,It's a mushroom that grows in caves. It might be dangerous to consume when raw. 
Mineral_001_NameKey,Black methane mineral
Mineral_001_DescKey,"A slab of black methane, the most common form of methane on Titan. "
Mineral_002_NameKey,White methane mineral
Mineral_002_DescKey,"White methane requires a higher temperature and pressure than black methane, so it's less common. "
Shabby_Key_NameKey,Shabby key card
Shabby_Key_DescKey,It's an old and shabby key card.
Key_Card_BedRoom,Key Card: Room
Key_Card_Power_B01,Key Card: Power Relay [B01]
Key_Card_Air_B01,Key Card: Air Circulator [B01]
Key_Card_Pub,Key Card: Pub's Storage
Key_Card_Power_B02,Key Card: Power Relay [B02]
Key_Card_006_NameKey,Undefined
Key_Card_007_NameKey,Undefined
Key_Card_008_NameKey,Undefined
Key_Card_009_NameKey,Undefined
Key_Card_010_NameKey,Undefined
Key_Card_BedRoom_Desc,The keycard that grants access to the room that Gin Lao is letting me stay in.
Key_Card_Power_B01_Desc,An old yellow keycard. 'Power Relay Access' is printed on the front.
Key_Card_Air_B01_Desc,An old blue keycard. 'Air Circulator Access' is printed on the front.
Key_Card_Pub_Desc,Alp gave me this keycard so that I can deal with the rats in his basement. They must be really bad if he locked them down there.
Key_Card_Power_B02_Desc,Looks like an old entry card. It written Power Relay Access.
Key_Card_006_DescKey,Undefined
Key_Card_007_DescKey,Undefined
Key_Card_008_DescKey,Undefined
Key_Card_009_DescKey,Undefined
Key_Card_010_DescKey,Undefined
RiotShield_NameKey,Riot Shield
RiotShield_DescKey,It's a shield used to suppress people by force.
Improvised_Shield_NameKey,Primitive Wood Shield
Improvised_Shield_DescKey,It's a Primitive Wood Shield
Shield_002_NameKey,Primitive Shield
Shield_002_DescKey,It's a Primitive Shield
ReactorCore_Level2_Upgrade_Blueprint,Blue print Research Complete 1 time
Shabby_Mob,Shabby Mob
Shabby_Kitchen_Knife,Rusty Kitchen Knife
Shabby_Mob_Desc,"An old, shabby mop. It'd probably make the place dirtier if it were actually used for cleaning. "
