Language,Default
Needs_Food_01,Have the Munchies
Needs_Food_02,Hungry
Needs_Food_03,Empty Stomach
Needs_Food_04,Famished
Needs_Food_05,Starving to Death
Needs_Water_01,Dry Throat
Needs_Water_02,Thirsty
Needs_Water_03,Need Water
Needs_Water_04,Dehydrated
Needs_Water_05,Dying of Thirst
Needs_Tired_01,Sore
Needs_Tired_02,Aching
Needs_Tired_03,Fatigued
Needs_Tired_04,Languor
Needs_Tired_05,Exhausted
Needs_Sleepness_01,Yawning
Needs_Sleepness_02,Drowsy
Needs_Sleepness_03,Sleepy
Needs_Sleepness_04,Lethargic
Needs_Sleepness_05,Mental Stupor
Needs_LackOfOxygen_01,Short of Breath
Needs_LackOfOxygen_02,Winded
Needs_LackOfOxygen_03,Hypoxia
Needs_LackOfOxygen_04,Oxygen Deprived
Needs_LackOfOxygen_05,Suffocating
Needs_Food_01_Desc,You have the munchies. You should grab something to eat.
Needs_Food_02_Desc,You're hungry and feeling weaker from it.
Needs_Food_03_Desc,Your stomach is growling. It wants food. Preferably now.
Needs_Food_04_Desc,It feels like your stomach is eating itself. You should find something else for it to eat.
Needs_Food_05_Desc,You're about to die of starvation. Hurry up and find food to eat!
Needs_Water_01_Desc,Your throat feels a little dry. A little drink would be nice.
Needs_Water_02_Desc,You're thirsty. It would be a good idea to drink water.
Needs_Water_03_Desc,Drinking just about anything is starting to sound nice.
Needs_Water_04_Desc,"You can feel the dehydration dragging you down, look for anything to drink."
Needs_Water_05_Desc,"If you don't want to die of thirst, drink *something* quickly."
Needs_Tired_01_Desc,All of that physical labor has left you a bit sore. Maybe you should take a nap.
Needs_Tired_02_Desc,Your body is aching from the constant strain. Some rest would be great.
Needs_Tired_03_Desc,Everything hurts all the time. Your body needs rest.
Needs_Tired_04_Desc,It feels like your body is ready to give up; A bed would be the best place to give up in.
Needs_Tired_05_Desc,You will literally work yourself to death soon.
Needs_Sleepness_01_Desc,You've been yawning and losing focus often lately. A nap would help.
Needs_Sleepness_02_Desc,Your mind and body are slowing down. They need some sleep.
Needs_Sleepness_03_Desc,Your eyelids are getting heavy. Finding a bed would be great.
Needs_Sleepness_04_Desc,"Your whole body now feels heavier. It needs rest, and soon."
Needs_Sleepness_05_Desc,You can barely think of anything but lying down and sleeping.
Needs_LackOfOxygen_01_Desc,It feels difficult to breathe. You constantly feel out of breath.
Needs_LackOfOxygen_02_Desc,You're so out of breath that it kind of hurts to breathe.
Needs_LackOfOxygen_03_Desc,You're getting dizzy from lack of oxygen.
Needs_LackOfOxygen_04_Desc,You're becoming delirious. You need to find some oxygen very soon.
Needs_LackOfOxygen_05_Desc,"You're going to die from lack of oxygen! Find a canister, or a place with oxygen!"
Needs_Ration,Hunger
Needs_Ration_Desc,You're hungry and feeling weaker from it.
State_Fracture_01,Sprain
State_Fracture_02,Hairline Fracture
State_Fracture_03,Broken Bones
State_Fracture_01_Desc,One of your joints hurts terribly. It must be sprained.
State_Fracture_02_Desc,There's a hairline fracture in one of your bones. You should take care of that before it worsens.
Trait_Fracture_03_Desc,You definitely have a broken bone. You should probably take a look at it.
State_Injuried_01,Cut
State_Injuried_02,Laceration
State_Injuried_03,Bleeding
State_Injuried_04,Rupture
State_Injuried_05,Excessive Bleeding
State_Injuried_01_Desc,A little skin loss has revealed some vulnerable flesh.
State_Injuried_02_Desc,Your flesh has a small laceration that's bleeding a bit.
State_Injuried_03_Desc,"Your blood is flowing freely, but slowly, from an open wound."
State_Injuried_04_Desc,The bleeding shows no signs of stopping. This needs treatment soon.
State_Injuried_05_Desc,"It's just... pouring out. It's going to stop soon, though, one way or another."
State_Poison_01,Light Poison
State_Poison_02,Poison
State_Poison_03,Serious Poison
State_Poison_01_Desc,You were mildly poisoned. Your body should eventually expel it but it'll take a while. An antidote would help you recover faster.
State_Poison_02_Desc,"You're feeling a bit woozy, somewhat light-headed and poisoned."
State_Poison_03_Desc,There's more poison in your veins than blood. You should get an antidote in there.
State_Down,Down
State_Down_Desc,You've been knocked down! Moving and attacking is impossible!
State_Burn_01,Light Burn
State_Burn_01_Desc,You've been burned. Your flesh is sensitive and discolored.
State_Burn_02,Burn
State_Burn_02_Desc,A flame is actively eating away at your flesh. You should take care of that soon.
State_Burn_03,Serious Burn
State_Burn_03_Desc,Your whole body is on fire! Don't just stand there! Do something!
State_Cold_01,Light Cold
State_Cold_02,Cold
State_Cold_03,Serious Cold
State_Cold_01_Desc,You're feeling pretty cold and a bit less agile.
State_Cold_02_Desc,You're so cold that your skin is turning blue.
State_Cold_03_Desc,You can't feel anything at all. You need to warm up immediately.
State_Acid_01,Light Acid
State_Acid_02,Acid
State_Acid_03,Serious Acid
State_Acid_01_Desc,There's acid on your body and it's eating away at your equipment (or flesh). You should look for something to neutralize it.
State_Acid_02_Desc,You have acid covering a lot of your body. Your maintenance costs are skyrocketing.
State_Acid_03_Desc,You're practically soaked in acid. You need to neutralize it.
Restore_Food_Key,Eat Food
Restore_Food_Desc_Key,Hunger is decreasing because you ate food.
Restore_Water_Desc_Key,Thirst is decreasing because you drank water.
Restore_Health_Desc_Key,Your health is recovering faster than usual.
FractureDamage,Fracture Damage
OHM_P_Mastery,One-Handed Melee Mastery
OHM_P_Mastery_Desc,"While using a One-Handed Melee Weapon, your 'Melee Accuracy' and 'Dodge Chance' are increased while your 'Fumble Chance' is decreased."
OHM_P_CounterAttack,Counter Attack
OHM_P_CounterAttack_Desc,Prepare for a chance to counterattack.
OHM_P_Block,Shield Mastery
OHM_P_Block_Desc,"While using a Shield, your blocks are more frequent and reduce more damage."
OHM_P_Block_Desc_001,<sprite name="blockChance_Icon"><#a5eaff>Block Chance + 3%</color>\n<sprite name="blockPower_Icon"><#a5eaff>Block Power + 3</color>
