Language,Default
M_Q_01_Equipment,Get dressed
M_Q_02_AlpOfPub,Alp's Pub
M_Q_03_Resi_Lao,Residential Admin
M_Q_04_Find_Work,Find some work
M_Q_05_Kill_Rat,Scourge of a pub's basement
M_Q_06_Mushroom,Mushroom gathering
M_Q_07_Gene_Litzi,Head of the Generator Facility
M_Q_08_Minerals_01,Mineral hunt
M_Q_09_Minerals_02,Mineral hunt (part 2)
M_Q_10_Massage_Ida,Message from Ida
M_Q_11_Mine_Tau,The Master of Mine Control
M_Q_12_Mining_Equip,Mining equipment
M_Q_13_Investingation_Desc,Investing To Subterrain
M_Q_14_ControlCenter_Desc,Go To Control Center
M_Q_15_ControlCenterCom_Desc,Find the clue of Control Center
M_Q_01_Equipment_Desc,Take the clothes out of the box behind the curtain and put them on.
M_Q_02_AlpOfPub_Desc,Talk to Alp Demir at the pub. The pub is down the left-most stairs in the Hub.
M_Q_03_Resi_Lao_Desc,Talk to Gin Lao in the Residential Area. The RA is down the right center stairs in the Hub.
M_Q_04_Find_Work_Desc,Alp might have some work.
M_Q_05_Kill_Rat_Desc,Kill all the rats in the pub basement and bring their tails to Alp.
M_Q_06_Mushroom_Desc,Get some mushrooms for Alp. He said the mushrooms are in the cave to the northeast of camp.
M_Q_07_Gene_Litzi_Desc,"Talk to Litzi Vogl. She is on the bottom floor of the Generator Facility, which is to the northwest of camp."
M_Q_08_Minerals_01_Desc,Get some black methane for Litzi. She said the minerals are deep in the cave to the northeast of camp.
M_Q_09_Minerals_02_Desc,Get some white methane for Litzi. She said they are in the deepest part of the cave to the northeast of camp.
M_Q_10_Massage_Ida_Desc,Talk to Ida as soon as possible.
M_Q_11_Mine_Tau_Desc,Talk to Tau Mogorosi. He is in Mine Control. MC is to the east of camp.
M_Q_12_Mining_Equip_Desc,Talk to Judith. She is on the first floor of the Generator Facility.
M_Q_13_Investingation_Desc,You need to find traces of past exploration teams that have disappeared from underground areas. They may have left a trace of something.
M_Q_14_ControlCenter_Desc,There seems to be a control center on the B05 floor. Let's look into the place.
M_Q_15_ControlCenterCom_Desc,You finally reached the control center. You may find some clues here.
Sub_Q_Lamp,Lamp
Sub_Q_Battery,Battery
Sub_Q_Oxygen,Oxygen Equipment
Sub_Q_Production,Production Access
Sub_Q_Blueprint,Judith wants to talk
Sub_Q_Lamp_Desc,Talk to Judith Taggart. She may have a lamp to spare. She's in the northwestern building in the camp.
Sub_Q_Battery_Desc,Talk to Litzi Vogl. She may have a battery to spare. She's in the northwestern building in the camp.
Sub_Q_Oxygen_Desc,Talk to Running Wolf Earl. He may have some oxygen equipment. He's in the southeastern building in the camp.
Sub_Q_Production_Desc,"Talk to David to get access to the production line. David is usually at the supply depot, which is down the right-most stairs in the Hub."
Sub_Q_Blueprint_Desc,Talk to Judith and find out what's going on.
Equip_QuestContext,Equipment
Kill_QuestContext,Kill
Main_Quest,Main Quest
Sub_Quest,Sub Quest
Quest_Complete,< Quest Complete >
Mn018,Camp Assembly
Mn018_Journal,Investigate the old facility.
Sub_Q_PowerRelay,Power relay
Sub_Q_AirCirculator,Air circulator
Sub_Q_PowerRelay_Desc,Research Broken Fuse.
Sub_Q_AirCirculator_Desc,Research Broken Filter
Sub_Q_WormMeat,Add Worm Meat to the Menu
Sub_Q_WormMeat_Desc,Bring worm meat to Alp.
Q_Log_Act01_Start,From the Past
Q_Log_Act01_Start_Desc,"After a long sleep, I woke up from my hibernation device.\nThe place I woke up in is called 'Huygen Camp'...\nProbably one of the many camps built in Titan...\nFirst of all, we need to understand the situation of this camp. And... all the first explorers who came to Titan with me disappeared. What the hell happened?"
Q_Log_Act02_Start,Huygen Camp
Q_Log_Act02_Start_Desc,"The camp's resources are running out, and the tension between the camp's people is getting worse...\nOn top of all that, an unidentified monster appeared at the camp.\nIf this continues, everyone in the camp will die... Or kill each other.\nThe last thing left for me is to go to the polluted underground by myself.\nI may be able to find scarce resources, or find traces of past expeditions to help us escape the camp.\nThere is no choice..."
Tutorial_Hunger_Thirst,Hunger & Thirst
Tutorial_Hunger_Thirst_Desc,"As time goes by, you become hungrier and thirstier.\nSatiate your hunger and thirst with food and drinks.\nHigh hunger or thirst will significantly reduce combat efficiency and, in severe cases, you'll lose HP over time."
Tutorial_Sleep,Sleep
