Language,Default
Tutorial_00_Move,Move
Tutorial_00_Time,Date & Time
Tutorial_01_Item_Equipment,Equipment Item
Tutorial_02_OmniScope,Omniscope
Tutorial_03_Item_Food,Food & Water
Tutorial_04_Bed_Sleep,Sleepiness
Tutorial_05_Combat,Combat
Tutorial_06_Perk,Perk
Tutorial_06_Stat,Stat
Tutorial_07_Lamp,Lamp
Tutorial_08_Oxygen,Oxygen Canister
Tutorial_09_Production,Item Production
Tutorial_10_ResourceManagement,Resource Management
Tutorial_00_Move_Desc,"You can move in 8 directions based on the your tile.\n\nMethod Of Move : Use either of the following two methods\n\nMethod(1) : Specify the tiles to be moved.\nMethod(2) : Press to [WASD], [QEZC] Key."
Tutorial_00_Time_Desc,"You can check the date and time using the information displayed on the upper right.\n\n-Mark : T.Year.Day\n-Unit : 1 Day = 400 Turn, 1 Year = 16 Days"
Tutorial_01_Item_Equipment_Desc,"Items such as weapons, protective equipment, lamps, batteries, oxygen canisters, etc. can be installed.\n\n-Weapon, Armor : Stat Increase\n-Lamp : illumination of vision in the dark\n-Battery : Energy required for the use of special Equipment and Lamp.\n-Oxygen Canister : Oxygen is supplied from oxygen-deprived areas."
Tutorial_02_OmniScope_Desc,Omniscope is a state-of-the-art equipment built into the body of the probe.\nVarious information can be processed and related information can be checked through the retina lens.\n\nOmniscope Key\n-Lower left Omniscope or [TAB] Key\n\nOmniscope function shortcut\n-Setting [ESC]\n-Map [M]\n-Perk [K]\n-Inventory [I]\n-Stat [P]\n-Journal [J]
Tutorial_03_Item_Food_Desc,"If your desire for food and water is not satisfied, your stats may decrease or die.\nYou can recover by using food or water items.\n\nInformation\n-Needs of food : Lower left first gauge\n-Needs of water : Lower left second gauge"
Tutorial_04_Bed_Sleep_Desc,The UI on the lower left allows you to check the player's sleep needs. You can recover your desire for sleep by using a bed.\n\nInformation\n-Needs of sleep : Lower left third gauge.
Tutorial_05_Combat_Desc,Combat
Tutorial_06_Perk_Desc,Perk
Tutorial_06_Stat_Desc,Stat
Tutorial_07_Lamp_Desc,"-The lamp illuminates the view in the dark.\n-In order to use the lamp, the battery must be installed, and the amount of batteries installed with the lamp turned on decreases.\n\n-Function Shortcut\n-Use Lamp: [;]"
Tutorial_08_Oxygen_Desc,-Oxygen canisters help you survive in oxygen-poor areas.\n-Mounted oxygen canisters reduce the amount of asphyxiation gained in oxygen-deprived areas.\n*(Oxygen-deprived area: 70% or less oxygen)
Tutorial_09_Production_Desc,"-You can request work by placing items to be researched, recycled, or used as materials in a personal storage in a Supply.\n-At this time, credit for the work is required.\n\nInformation\n-Item Production : [N]"
Tutorial_10_ResourceManagement_Desc,"-Resource management functions allow you to control the amount of resources produced or consumed.\n-The types of resources include electricity, water, and ration.\n-Lack of resources reduces the efficiency of camp facilities and camp's members, which can lead to a halt in camps and loss of games.\n\nResource-producing material\n-Electricity : Methane Fuel(obtained by decomposing methane minerals)\n-Water : Phytochemical(Obtained by disassembling plant items)\n-Ration : Organic fertilizer(Obtained by disassembling monster spoils.)"
Tutorial_Omniscope_01_02,<color=TUTORIAL>The functions of the currently active omniscope are as follows. <color=IMPORTANT0>[ Option Key ]</color> / Inventory : <color=IMPORTANT0>[ I ]</color> / Stat : <color=IMPORTANT0>[ P ]</color> / Perk : <color=IMPORTANT0>[ K ]</color> / Journal : <color=IMPORTANT0>[ J ]</color> / Map : <color=IMPORTANT0>[ M ]</color></color>
Tutorial_Omniscope_01_03,<color=TUTORIAL>Other detailed shortcuts can be found and changed under 'Omniscope > Settings > Control Settings'.</color>
Tutorial_Omniscope_02,<color=TUTORIAL>The bottom slot can be used by registering items or your personal Perk.</color>
Tutorial_Omniscope_03,"<color=TUTORIAL>Current date and time, temperature and oxygen levels of the zone can be found at the top right section of the Hud.</color>"
Tutorial_Move,<color=TUTORIAL>Click on the ground or press <color=IMPORTANT0>QEZC</color> and <color=IMPORTANT0>WASD</color> keys to move.</color>
Tutorial_Mn001_Equipment,"<color=TUTORIAL>Our current objective indicates that in order to acquire the equipment, we should click on the box behind the medical curtain.</color>"
Tutorial_Mn005_Roomkey,<color=TUTORIAL>Keycard added to inventory. Click the locked door to open it.</color>
Tutorial_Mn008_Rat,<color=TUTORIAL>Kill {Rat_KillCount}  Rats in the warehouse.</color>
Tutorial_Mn009_Mushroom,<color=TUTORIAL>Collect {Plant_MushroomCount}  mushrooms from the cave.</color>
Tutorial_Mn011_Minerals,<color=TUTORIAL>Bring {Minerals_BlackCount}  black minerals from the cave.</color>
Tutorial_Mn012_Minerals,<color=TUTORIAL>Bring {Minerals_WhiteCount}  white minerals from the cave.</color>
Tutorial_Mn017_Boss,<color=TUTORIAL>Fight the monster.</color>
Tutorial_Mn010_Litzi,<color=TUTORIAL>Go to the power generator B1 on the northeast of Hub.</color>
Tutorial_Mn014_Mogorosi,<color=TUTORIAL>Talk to Tau in the mine control east of camp.</color>
Tutorial_Mn015_Judith,<color=TUTORIAL>Find Judith at her workshop and pick up the supplies.</color>
Tutorial_Oxygen_AI_001,<color=TUTORIAL>WARNING. This is an oxygen-poor area.</color>
Tutorial_Oxygen_AI_002,<color=TUTORIAL>You can check the levels of oxygen right at the top of the current zone.</color>
Tutorial_Oxygen_AI_003,"<color=TUTORIAL>In areas where oxygen is less than 70%, the player's oxygen decreases. Certain negative conditions can occur due to lack of oxygen.</color>"
Tutorial_Oxygen_AI_004,<color=TUTORIAL>You can mount oxygen items in the inventory. Oxygen items slow down the player's oxygen loss.</color>
Tutorial_Oxygen_AI_005,<color=TUTORIAL>Oxygen items can be purchased through Omniscope's Craft UI to 'Taggart Judith' or through direct transactions.</color>
Tutorial002_01_Nar,"(It's very dark inside the cave, so you can barely see the things that are close by.)"
Tutorial002_02_P,It's too dark around here...
Tutorial002_03_Nar,(AI Cassini appears on your lens.)
Tutorial002_04_AI,"Warning, there is not enough light to detect the surroundings.\n\nReview the appropriate measures.\n[Suggestion]\n-Equip 'Lamp' and 'Battery'.\n\nFind the targets that are most likely to have lamps and batteries in the Huygen Camp.\n[Search Results]\n-Lamp : Judith Taggart\n-Battery : Litzi Vogl"
Tutorial002_05_P,"If I find these two, I can get a lamp and a battery, right?"
Tutorial002_06_P,Can I get a lamp by any chance?
Tutorial002_07_Judith,"I do have one, it's not new but I can give it to you for free. Since it's not a very relaxed situation here If you need any more In the future you'll have to bring me the ingredients and credits if necessary and then I can make you one."
Tutorial002_08_Nar,(Got the lamp.)
Tutorial002_09_P,Production? What else can you produce?
Tutorial002_10_Judith,"Oh, yeah, You don't know much about camp yet. I think You need the production access first. Find David at the supply station."
Tutorial002_11_Judith,"And if You have enough credit, You can buy things I have."
Tutorial002_12_AI,The trading function of Judith Taggart has been activated.
Tutorial002_17_P,Can I get a battery by any chance?
Tutorial002_18_Litzi,"Battery? I do have one, but why? I'm busy. Can you tell me?"
Tutorial002_19_P,I have to go into a cave. Can I borrow it?
Tutorial002_20_Litzi,"If the cave you're heading into is the one to the northeast, could you get me some minerals on the way? I'm pretty busy with work so I can't go myself. I'll give you one battery for free but we don't have many left so if you need any more, bring me the materials and credits and I will make one for you."
Tutorial002_20_Nar,(You got a battery.)
Tutorial002_21_P,You want me to ask for production? Can you ask for other things?
Tutorial002_22_Litzi,"Oh, don't you have the access to produce it yet? Then would you like to visit David at the supply station first?"
Tutorial002_23_Litzi,"And it's not a lot, but if you're in a hurry, you'll be able to buy a battery with credit."
Tutorial002_24_AI,Rich Vogel's trading capability has been activated.
Tutorial003_01_Nar,"(Entering the depths of the cave, You feel stuffy breathing without knowing anything.)"
Tutorial003_02_Nar,(AI Cassini appears on your lens.)
Tutorial003_03_AI,"<color=TUTORIAL>Warning, Oxygen concentration is low.\nIf you stay in the current area for a long time, you may experience oxygen deficiency.\n\nReview the appropriate measures.\n[Suggestion]\n- Please leave the current area or wear an oxygen canister.\n\nDetermine which targets are most likely to have an oxygen canister in subhunts camp.\n[Calculation Results]\n- Oxygen Canister: Running Wolf Earle</color>"
Tutorial003_04_P,Does Judith have an oxygen canister?
Tutorial003_05_P,Can I get an oxygen canister?
Tutorial003_06_Wolf,"Canister? Alas, I used to make that stuff. I haven't made a whole bottle lately. There's not much left, but I think I can give you one. We don't have enough ingredients, so we'll have to bring the ingredients to make it for you later."
Tutorial003_07_Nar,(You get an oxygen canister.)
Tutorial003_08_P,Production? What else can you produce?
Tutorial003_09_Wolf,"Haven't you produced anything yet? Then first, go to David at the supply station and get the production access."
