Language,Default
Game_Title,Subterrain 2
GameLoader_EarlyStage,This game is in the early stages of development.\nFeatures and design are subject to change.
Demo_Title,Demo
Demo_Desc,"Thanks for playing Subterrain Mines of Titan Demo!\nYou are still able to freely continue playing, but access to the deeper levels of the game is not available in the demo.\n\nPlease follow us at Steam community and Discord channel and help us to make even better game!"
Demo_Steam,Subterrain Mines of Titan Steam Forum
Demo_Discord,Subterrain Mines of Titan Discord Channel
Thank you!
GameOver,You Are Dead!
GameOver_TotalTurn,Total Turns
Menu_NewGame,New Game
Menu_LoadGame,Load Game
Menu_Settings,Settings
Menu_Credits,Credits
Menu_Exit,Exit
Menu_ChangeLog,Change Log
PauseMenu_Title,Pause
PauseMenu_ReturnToGame,Return To Game
PauseMenu_ReturnToMenu,Return To Main Menu
PauseMenu_Save,Save Game
Notice_Loading,Loading...
Notice_Saving,Saving...
SaveSlot_Load,Load
SaveSlot_Save,Save
SaveSlot_Delete,Delete
SaveSlot_GameTime,Game Time
Slot01,Slot 01
Slot02,Slot 02
Slot03,Slot 03
Slot04,Slot 04
Slot05,Slot 05
Slot06,Slot 06
Slot07,Slot 07
Slot08,Slot 08
Slot09,Slot 09
SlotQuick,Quick
SlotEmpty,Empty
Settings_Title,Settings
Settings_MasterVolume_Title,Master Volume
Settings_BGMVolume_Title,BGM Volume
Settings_UIVolume_Title,UI Volume
Settings_SfxVolume_Title,SFX Volume
Settings_Language_Title,Language
Settings_Language_Default,English
Settings_Language_Korean,Korean
Settings_Vsync_Title,VSync
Settings_Vsync_Half,Half
Settings_Vsync_On,On
Settings_Vsync_Off,Off
Settings_Resolution_Title,Resolution
Settings_FullScreen_Title,Full Screen
Settings_FullScreen_On,On
Settings_FullScreen_Off,Off
Settings_UIScale_Title,UI Scale
Settings_GameScale_Title,In Game Scale
Button_Apply,Apply
Button_Cancel,Cancel
Button_Reset,Reset
Button_Done,Done
Button_ControlConfig,Control Config
Button_Continue,Continue
Button_FastForward,Fast Forward
KeyboardControl_MoveLeft,Move Left
KeyboardControl_MoveRight,Move Right
KeyboardControl_MoveUp,Move Up
KeyboardControl_MoveDown,Move Down
KeyboardControl_MoveLeftUp,Move Left Up
KeyboardControl_MoveRightUp,Move Right Up
KeyboardControl_MoveLeftDown,Move Left Down
KeyboardControl_MoveRightDown,Move Right Down
KeyboardControl_Pause,Pause
KeyboardControl_Back,Back
KeyboardControl_Continue,Continue
KeyboardControl_QuickSave,Quick Save
KeyboardControl_QuickLoad,Quick Load
KeyboardControl_QuickSlot1,Slot 1
KeyboardControl_QuickSlot2,Slot 2
KeyboardControl_QuickSlot3,Slot 3
KeyboardControl_QuickSlot4,Slot 4
KeyboardControl_QuickSlot5,Slot 5
KeyboardControl_QuickSlot6,Slot 6
KeyboardControl_QuickSlot7,Slot 7
KeyboardControl_QuickSlot8,Slot 8
KeyboardControl_QuickSlot9,Slot 9
KeyboardControl_QuickSlot0,Slot 0
KeyboardControl_WheelMenu,Wheel Menu
KeyboardControl_Inventory,Inventory
KeyboardControl_Journal,Journal
KeyboardControl_Status,Status
KeyboardControl_Perk,Perk
KeyboardControl_Map,Map
KeyboardControl_Production,Production
KeyboardControl_Research,Research
KeyboardControl_Recycle,Recycling
KeyboardControl_Craft,Craft
KeyboardControl_Camp,Camp
KeyboardControl_ToggleLight,Lamp
KeyboardControl_WeaponSwap,Weapon Swap
KeyboardControl_InventoryQuickMove,Item Quick Take/Put
KeyboardControl_InventoryDrop,Item Force Drop
KeyboardControl_InventorySplit,Item Split
KeyboardControl_InventoryScanGround,Scan Ground
KeyboardControl_InventoryTakeAll,Take All
KeyboardControl_Info,Infomation
PopupButton_Get,Get
PopupButton_Drop,Drop
PopupButton_Use,Use
PopupButton_Setup,Set up
PopupButton_Remove,Remove
PopupButton_Consume,Consume
PopupButton_Drink,Drink
PopupButton_Eat,Eat
PopupButton_Throw,Throw
PopupButton_Talk,Talk
PopupButton_Attack,Attack
PopupButton_Sell,Sell
PopupButton_Buy,Buy
PopupButton_Reload,Reload
PopupButton_Unload,Unload
PopupButton_Research,Research
PopupButton_Craft,Craft
PopupButton_Recycle,Recycle
PopupButton_Split,Split
PopupButton_Unlock,Unlock
PopupButton_LevelUp,Level Up
Popup_Stat_Name,Status
Popup_Perk_Name,Perk
Popup_Journal_Name,Journal
Popup_Inventory_Name,Inventory
Popup_Inventory_Split,Item Split
Popup_Inventory_DropItems,Drop Items
Popup_Inventory_TakeAll,Take All
Popup_Inventory_Bartering,Bartering
Popup_Stat_Level,Character Level
Popup_Stat_Exp,Exp
